Date,Open,High,Low,Close,Volume,Ticker,Year-Month
2/5/21,845,864.77,838.97,852.23,18566637,TSLA,2021-2
2/8/21,869.67,877.77,854.75,863.42,20161719,TSLA,2021-2
2/9/21,855.12,859.8,841.75,849.46,15157651,TSLA,2021-2
2/10/21,843.64,844.82,800.02,804.82,36216090,TSLA,2021-2
2/11/21,812.44,829.88,801.73,811.66,21622753,TSLA,2021-2
2/12/21,801.26,817.33,785.33,816.12,23768313,TSLA,2021-2
2/16/21,818,821,792.44,796.22,19802324,TSLA,2021-2
2/17/21,779.09,799.84,762.01,798.15,26078898,TSLA,2021-2
2/18/21,780.9,794.69,776.27,787.38,17957058,TSLA,2021-2
2/19/21,795,796.79,777.37,781.3,18958255,TSLA,2021-2
2/22/21,762.64,768.5,710.2,714.5,37269716,TSLA,2021-2
2/23/21,662.13,713.61,619,698.84,66606882,TSLA,2021-2
2/24/21,711.85,745,694.17,742.02,36766950,TSLA,2021-2
2/25/21,726.15,737.21,670.58,682.22,39023855,TSLA,2021-2
2/26/21,700,706.7,659.51,675.5,41089173,TSLA,2021-2
2/1/21,259.52,264.17,254.91,262.01,22914255,FB,2021-2
2/2/21,264,268.85,263.27,267.08,17320788,FB,2021-2
2/3/21,265.62,269.2,263.84,266.65,14223377,FB,2021-2
2/4/21,267.01,268.16,264,266.49,16059958,FB,2021-2
2/5/21,266.8,269.17,265.67,268.1,12454367,FB,2021-2
2/8/21,268.75,269.86,265,266.58,13755191,FB,2021-2
2/9/21,266.44,273.39,265.75,269.45,14613375,FB,2021-2
2/10/21,272.45,273.8,267.72,271.87,14687152,FB,2021-2
2/11/21,271.89,273.58,268.49,270.39,12828572,FB,2021-2
2/12/21,270.52,271.18,268.34,270.5,9097597,FB,2021-2
2/16/21,270.8,276.6,270.05,273.97,15417243,FB,2021-2
2/17/21,271.24,273.97,269.58,273.57,12763240,FB,2021-2
2/18/21,269.57,271.95,266.03,269.39,15249134,FB,2021-2
2/19/21,269.86,270.27,260.15,261.56,25622587,FB,2021-2
2/22/21,257.95,263.07,257.53,260.33,17434873,FB,2021-2
2/23/21,259.5,267.46,254.96,265.86,21924557,FB,2021-2
2/24/21,262.33,266.38,258.39,264.31,15736123,FB,2021-2
2/25/21,262.3,266.94,254.04,254.69,19053142,FB,2021-2
2/26/21,256.47,265.55,256.47,257.62,26619517,FB,2021-2
3/1/21,123.75,127.93,122.79,127.79,116307892,AAPL,2021-3
3/2/21,128.41,128.72,125.01,125.12,102260945,AAPL,2021-3
3/3/21,124.81,125.71,121.84,122.06,112966340,AAPL,2021-3
